Date,Open,Low,High,Close,Avg,Volume,Count
30.01.2026,129.22,126.60,129.68,127.60,127.80,7 520 091 830.80,79 335
29.01.2026,127.47,127.13,130.39,129.35,128.92,14 083 174 959.20,163 590
28.01.2026,128.52,126.80,128.92,127.07,128.02,5 608 413 483.00,74 310
27.01.2026,125.74,125.15,129.10,128.27,127.52,9 152 218 583.50,103 654
26.01.2026,127.59,125.01,127.90,125.60,126.18,9 199 557 802.10,117 596
23.01.2026,125.30,125.03,127.99,127.60,126.55,6 711 597 055.40,98 433
22.01.2026,126.70,125.10,127.00,125.74,126.18,7 855 427 506.70,99 099
21.01.2026,123.67,122.75,126.74,126.62,125.48,9 961 988 689.60,127 427
20.01.2026,123.20,122.30,123.83,123.42,123.27,4 445 598 659.00,54 214
19.01.2026,123.63,122.88,124.37,123.14,123.74,5 092 096 062.90,75 485
16.01.2026,122.02,121.80,123.82,123.63,122.92,5 060 686 193.90,68 449
15.01.2026,121.31,120.77,122.50,122.00,121.82,4 003 101 479.80,56 269
14.01.2026,120.55,119.52,123.46,121.47,121.88,8 067 684 955.90,88 201
13.01.2026,120.89,119.65,121.50,120.27,120.48,4 743 528 131.80,69 213
12.01.2026,123.15,120.42,124.38,120.81,121.87,9 541 909 795.90,114 260
09.01.2026,122.27,122.25,123.95,123.23,123.25,2 515 397 943.80,31 009
08.01.2026,122.62,121.81,123.00,122.21,122.34,2 960 459 445.60,36 277
06.01.2026,123.75,123.24,124.32,123.64,123.73,1 900 178 697.90,27 621
05.01.2026,124.83,122.01,125.29,123.72,123.34,5 103 460 267.40,61 725
30.12.2025,125.21,124.86,126.10,125.36,125.55,4 333 523 104.90,64 177
29.12.2025,127.50,124.75,129.71,125.29,127.15,15 763 549 029.50,160 477
26.12.2025,124.15,124.01,127.44,127.37,126.17,7 571 628 197.60,74 681
25.12.2025,125.04,124.00,125.19,124.20,124.45,2 961 177 506.80,35 559
24.12.2025,125.50,124.36,125.70,125.04,125.00,3 454 814 454.00,43 879
23.12.2025,124.71,123.43,125.77,125.32,124.75,6 266 477 099.70,71 763
22.12.2025,127.63,124.40,127.71,124.60,125.72,8 804 394 070.10,89 884
19.12.2025,128.97,126.11,130.76,127.46,128.38,14 621 255 193.90,140 936
18.12.2025,129.48,128.31,129.60,128.76,128.82,6 841 627 066.80,71 128
17.12.2025,130.53,127.85,131.48,129.11,129.15,10 506 925 721.30,110 447
16.12.2025,129.40,128.77,131.17,130.51,130.15,6 586 286 499.00,72 666
15.12.2025,128.00,127.20,129.54,129.12,128.36,8 515 206 375.90,98 429
12.12.2025,130.00,127.16,130.94,127.44,129.08,9 388 571 616.20,88 593
11.12.2025,128.35,128.35,131.85,130.30,130.28,13 812 707 593.00,131 098
10.12.2025,129.30,128.11,129.40,128.32,128.60,3 966 973 668.50,42 719
09.12.2025,127.50,126.70,130.11,129.28,128.14,8 655 909 765.60,77 045
08.12.2025,128.71,126.85,130.85,127.12,128.99,11 172 535 610.80,103 648
05.12.2025,125.35,125.22,128.80,128.67,127.67,7 836 333 211.70,84 641
04.12.2025,125.39,125.17,126.46,125.32,125.87,3 777 027 006.40,43 573
03.12.2025,125.00,123.71,125.60,125.01,124.58,8 539 315 069.80,92 909
02.12.2025,127.78,126.10,128.89,127.02,127.64,7 011 790 292.70,72 221
01.12.2025,127.70,127.11,129.21,127.80,128.23,9 883 004 098.80,107 819
28.11.2025,124.04,123.62,128.32,127.70,126.09,8 720 680 051.50,75 792
27.11.2025,126.60,123.07,127.34,124.06,125.20,8 504 058 187.60,91 337
26.11.2025,127.58,126.30,127.58,126.60,126.91,3 528 633 792.30,50 132
25.11.2025,126.03,125.10,128.80,127.60,127.17,12 108 817 740.60,109 339
24.11.2025,128.01,124.53,130.00,126.00,127.12,11 367 320 340.60,120 471
21.11.2025,128.19,125.35,128.82,127.06,127.09,12 101 623 854.50,107 870
20.11.2025,124.23,122.64,129.29,128.11,125.85,16 356 586 149.00,151 642
19.11.2025,121.62,121.42,127.00,124.00,124.40,18 334 888 866.70,183 918
18.11.2025,118.15,117.70,122.50,121.06,121.17,11 526 862 799.50,124 883
17.11.2025,118.33,117.02,119.71,118.14,118.55,5 297 064 965.70,77 057
14.11.2025,119.25,117.63,119.91,118.16,118.53,3 672 423 205.50,47 346
13.11.2025,119.14,118.65,120.13,119.28,119.31,3 193 990 783.80,50 603
12.11.2025,121.55,118.42,121.90,119.14,119.90,4 937 319 920.70,70 956
11.11.2025,119.60,119.01,121.80,121.53,120.51,4 425 798 543.70,55 099
10.11.2025,120.52,119.26,122.84,119.34,121.12,8 623 376 631.00,128 009
07.11.2025,117.00,116.86,121.29,120.45,119.79,9 973 300 025.20,116 914
06.11.2025,116.59,116.23,117.40,117.12,116.76,2 686 293 882.60,39 170
05.11.2025,117.39,116.15,117.51,116.46,116.79,3 934 841 876.50,52 539
03.11.2025,116.65,116.43,118.10,117.52,117.43,2 198 961 416.70,36 798
01.11.2025,116.35,115.95,116.60,116.20,116.30,1 052 253 989.40,18 049
31.10.2025,117.10,115.48,117.59,116.11,116.39,3 736 745 911.90,53 577
