Date,Open,Low,High,Close,Avg,Volume,Count
30.01.2026,168.18,159.12,169.22,160.00,163.78,7 724 195 146.20,100 830
29.01.2026,168.82,166.68,173.20,170.52,170.54,9 699 105 458.60,106 352
28.01.2026,166.78,166.58,169.30,168.30,168.08,3 984 684 794.20,58 445
27.01.2026,166.80,163.68,167.50,165.94,165.26,6 064 717 628.60,69 990
26.01.2026,165.50,165.10,170.40,166.48,168.26,9 189 210 137.40,123 475
23.01.2026,161.32,161.32,165.38,165.36,163.66,3 545 984 025.00,55 989
22.01.2026,162.08,159.38,162.42,161.88,161.28,2 923 542 123.80,67 697
21.01.2026,159.10,158.84,163.08,162.00,161.00,4 284 238 291.20,51 831
20.01.2026,158.42,157.92,159.66,158.84,158.88,2 318 113 208.80,29 344
19.01.2026,156.16,156.10,159.54,158.72,158.30,3 355 657 227.40,47 248
16.01.2026,155.88,155.30,156.90,156.36,156.08,2 826 975 968.40,36 679
15.01.2026,156.00,155.08,157.16,156.40,156.00,2 390 018 946.80,32 155
14.01.2026,159.00,155.86,159.00,157.06,156.98,3 755 448 467.40,48 419
13.01.2026,156.22,154.28,158.52,156.50,156.54,5 871 997 831.80,79 764
12.01.2026,150.28,150.00,156.78,156.52,154.70,7 507 974 330.40,103 483
09.01.2026,149.46,149.38,150.72,149.90,149.96,948 880 769.00,16 979
08.01.2026,151.44,149.00,151.44,149.46,149.90,1 516 781 692.00,23 424
06.01.2026,150.70,150.68,153.00,152.64,151.94,1 500 341 554.60,24 780
05.01.2026,149.08,147.40,150.84,150.62,149.32,1 599 063 502.60,29 441
30.12.2025,148.70,148.32,149.92,149.46,149.04,2 519 717 044.00,37 189
29.12.2025,152.26,148.08,153.10,148.70,150.80,6 361 305 317.40,116 084
26.12.2025,147.40,147.30,152.00,152.00,149.52,4 677 088 592.40,72 201
25.12.2025,145.62,144.64,147.54,147.16,145.98,2 384 455 479.20,43 582
24.12.2025,148.34,144.60,148.60,145.72,146.90,5 162 419 114.20,69 201
23.12.2025,143.58,143.48,148.12,148.08,145.94,5 129 330 194.80,59 919
22.12.2025,142.20,141.88,144.20,143.42,143.30,4 384 245 096.40,128 815
19.12.2025,142.78,141.00,144.58,142.20,142.78,3 524 322 848.80,63 533
18.12.2025,140.48,140.02,143.44,142.68,142.44,4 110 013 046.60,66 162
17.12.2025,140.50,139.20,141.48,140.44,134.10,2 108 369 119.60,32 782
16.12.2025,139.20,138.44,141.24,140.48,140.16,2 458 924 136.00,38 266
15.12.2025,136.80,136.02,139.46,139.00,137.72,2 652 976 922.40,48 038
12.12.2025,136.40,135.60,138.50,136.78,136.92,2 504 075 755.80,38 539
11.12.2025,136.90,135.84,139.44,136.36,137.64,3 161 966 328.80,49 993
10.12.2025,137.98,135.56,138.12,136.90,136.78,2 261 560 547.20,38 694
09.12.2025,133.10,132.74,138.88,137.80,136.42,4 272 026 000.00,55 804
08.12.2025,134.00,133.00,135.52,133.02,134.32,2 583 668 168.20,45 356
05.12.2025,128.90,128.90,134.50,134.02,132.40,3 194 078 534.60,51 179
04.12.2025,130.00,128.90,130.66,128.94,129.66,1 025 894 641.00,19 067
03.12.2025,129.60,128.10,130.14,129.96,128.96,2 033 881 342.40,32 511
02.12.2025,131.26,130.42,131.78,130.96,131.14,1 347 099 976.60,18 657
01.12.2025,130.86,130.02,132.24,131.10,131.32,1 576 663 385.60,27 999
