Date,Open,Low,High,Close,Avg,Volume,Count
30.01.2026,2 660.00,2 535.00,2 678.00,2 601.20,2 589.80,8 734 745 847.60,128 356
29.01.2026,2 763.00,2 620.00,2 765.00,2 706.00,2 714.60,7 667 333 387.80,100 861
28.01.2026,2 735.20,2 684.00,2 764.80,2 738.00,2 723.20,6 426 257 711.00,89 979
27.01.2026,2 744.80,2 661.40,2 749.60,2 714.80,2 707.00,4 355 265 489.60,81 784
26.01.2026,2 714.00,2 709.00,2 776.80,2 737.40,2 744.40,5 882 987 842.80,90 093
23.01.2026,2 703.20,2 673.00,2 720.00,2 709.00,2 700.20,2 924 850 166.40,42 622
22.01.2026,2 645.60,2 641.00,2 702.00,2 696.00,2 664.80,3 405 071 128.80,57 614
21.01.2026,2 660.60,2 640.80,2 728.40,2 643.00,2 695.40,6 621 949 176.00,81 369
20.01.2026,2 620.00,2 605.20,2 649.00,2 649.00,2 628.20,3 417 475 435.20,42 285
19.01.2026,2 561.00,2 556.20,2 620.00,2 609.00,2 605.20,2 478 163 597.60,43 580
16.01.2026,2 560.00,2 543.00,2 589.00,2 561.00,2 563.40,2 177 349 754.00,41 995
15.01.2026,2 565.40,2 539.20,2 578.00,2 569.80,2 560.20,1 743 039 786.20,35 230
14.01.2026,2 599.00,2 544.20,2 629.00,2 593.20,2 590.40,3 768 219 144.40,62 268
13.01.2026,2 547.00,2 527.20,2 607.40,2 580.00,2 574.00,6 122 464 769.60,94 080
12.01.2026,2 431.60,2 430.00,2 580.00,2 547.00,2 515.40,6 521 948 034.60,98 055
09.01.2026,2 412.00,2 396.00,2 428.60,2 416.40,2 411.20,671 085 118.60,14 076
08.01.2026,2 430.60,2 390.20,2 439.80,2 408.00,2 409.40,984 374 446.00,20 297
06.01.2026,2 442.00,2 430.40,2 457.80,2 442.00,2 441.60,816 931 441.40,17 723
05.01.2026,2 415.00,2 412.00,2 443.00,2 438.80,2 430.80,1 060 640 172.80,25 715
30.12.2025,2 377.00,2 370.00,2 408.00,2 398.40,2 392.20,1 695 586 671.20,41 307
29.12.2025,2 376.60,2 346.00,2 464.00,2 372.00,2 411.40,4 944 210 586.60,91 102
26.12.2025,2 328.60,2 324.00,2 379.00,2 373.40,2 357.40,1 855 145 699.40,41 107
25.12.2025,2 330.00,2 307.40,2 333.60,2 324.60,2 323.00,842 714 849.40,29 502
24.12.2025,2 330.00,2 305.00,2 332.00,2 325.20,2 318.20,1 008 447 122.80,20 947
23.12.2025,2 295.40,2 288.00,2 346.40,2 328.00,2 321.80,2 930 024 754.80,42 734
22.12.2025,2 294.00,2 266.00,2 344.20,2 286.80,2 299.40,3 806 894 487.40,50 910
19.12.2025,2 294.40,2 281.60,2 315.00,2 304.80,2 299.60,2 007 866 145.60,37 778
18.12.2025,2 309.60,2 281.00,2 326.00,2 294.40,2 298.60,2 472 081 360.40,39 867
17.12.2025,2 313.00,2 283.60,2 315.80,2 310.20,2 300.40,1 495 091 967.80,24 898
16.12.2025,2 294.20,2 280.20,2 314.20,2 312.40,2 297.00,1 875 573 724.60,24 856
15.12.2025,2 247.20,2 242.20,2 295.00,2 294.20,2 278.40,2 356 562 904.00,49 846
12.12.2025,2 259.60,2 222.00,2 301.40,2 241.80,2 268.60,3 369 467 230.20,44 993
11.12.2025,2 188.80,2 181.00,2 268.00,2 255.60,2 225.20,2 682 821 974.60,42 288
10.12.2025,2 170.00,2 166.80,2 185.00,2 183.80,2 178.00,670 423 677.00,13 878
09.12.2025,2 145.00,2 126.60,2 179.40,2 168.00,2 157.20,1 082 854 265.80,21 170
08.12.2025,2 168.60,2 133.00,2 190.00,2 138.00,2 163.60,1 781 679 424.40,28 469
05.12.2025,2 136.80,2 136.00,2 192.00,2 168.60,2 171.60,1 868 783 752.80,32 097
04.12.2025,2 131.00,2 119.40,2 152.00,2 136.80,2 143.20,1 246 172 322.40,18 032
03.12.2025,2 129.60,2 110.40,2 143.00,2 128.00,2 124.00,911 561 736.20,25 233
02.12.2025,2 145.20,2 121.40,2 151.00,2 135.00,2 134.60,799 881 914.40,18 221
01.12.2025,2 145.40,2 116.20,2 163.00,2 144.80,2 144.60,1 275 526 421.00,32 778
28.11.2025,2 116.00,2 112.00,2 149.00,2 140.40,2 135.20,1 393 041 271.80,28 358
27.11.2025,2 136.00,2 111.00,2 138.00,2 111.20,2 123.80,742 843 207.20,19 457
26.11.2025,2 143.20,2 110.20,2 145.20,2 136.60,2 127.00,899 301 521.20,30 142
25.11.2025,2 140.40,2 120.60,2 149.80,2 133.60,2 137.20,1 198 107 561.20,26 373
24.11.2025,2 161.20,2 112.00,2 182.60,2 140.00,2 137.00,1 618 841 183.80,49 664
21.11.2025,2 170.20,2 140.00,2 177.00,2 161.00,2 157.40,1 473 953 514.00,33 948
20.11.2025,2 145.00,2 131.20,2 185.00,2 170.20,2 157.60,2 203 130 790.40,45 787
19.11.2025,2 130.00,2 119.40,2 189.00,2 145.00,2 152.40,2 546 143 382.00,48 480
18.11.2025,2 087.80,2 066.20,2 150.00,2 130.20,2 112.40,2 103 977 351.40,36 606
17.11.2025,2 150.20,2 090.00,2 164.60,2 095.00,2 118.20,1 889 731 995.20,53 699
14.11.2025,2 178.20,2 113.40,2 189.00,2 150.20,2 149.00,2 025 968 677.00,33 134
13.11.2025,2 159.00,2 155.80,2 205.00,2 167.80,2 183.40,2 582 073 474.60,57 731
12.11.2025,2 151.00,2 119.00,2 165.20,2 153.60,2 142.20,1 341 332 522.40,25 744
11.11.2025,2 154.00,2 142.20,2 179.80,2 153.80,2 160.00,1 528 794 578.40,30 120
10.11.2025,2 086.00,2 077.00,2 148.20,2 148.00,2 121.80,2 310 780 552.20,54 203
07.11.2025,2 073.00,2 072.80,2 100.00,2 084.80,2 086.20,924 427 596.40,21 302
06.11.2025,2 088.00,2 070.20,2 098.00,2 072.80,2 080.80,777 590 672.00,18 413
05.11.2025,2 094.60,2 055.20,2 122.60,2 087.00,2 092.60,2 099 147 475.80,37 939
03.11.2025,2 068.00,2 063.20,2 107.00,2 098.80,2 093.20,733 433 154.40,17 033
01.11.2025,2 059.40,2 050.80,2 073.00,2 062.00,2 060.20,498 733 263.00,14 189
31.10.2025,2 094.00,2 041.00,2 119.80,2 052.80,2 088.20,2 232 802 519.40,40 712
