Date,Open,Low,High,Close,Avg,Volume,Count
30.01.2026,412.05,405.10,413.00,407.75,407.50,1 016 343 257.30,34 928
29.01.2026,405.00,405.00,414.95,412.60,410.90,2 525 417 233.10,112 556
28.01.2026,407.10,404.00,409.90,404.75,407.05,1 850 493 131.30,63 147
27.01.2026,398.50,396.50,406.95,406.35,402.05,1 273 147 584.50,53 670
26.01.2026,399.45,396.75,401.50,397.95,398.90,1 274 065 409.00,52 854
23.01.2026,396.85,395.90,400.45,399.45,398.25,1 115 987 237.65,41 656
22.01.2026,396.95,394.70,401.65,397.00,398.55,1 754 530 683.90,69 329
21.01.2026,391.90,390.30,396.85,395.55,394.55,943 567 558.15,32 395
20.01.2026,392.40,390.35,393.45,391.80,391.75,758 997 535.30,29 298
19.01.2026,395.80,391.55,397.25,392.10,394.60,951 437 231.55,51 892
16.01.2026,395.40,393.75,397.50,395.45,395.20,972 300 334.60,32 382
15.01.2026,393.55,392.00,396.75,394.40,394.40,770 169 670.90,26 269
14.01.2026,391.80,387.65,395.75,393.55,392.70,849 844 985.50,39 278
13.01.2026,392.00,389.15,396.35,390.50,392.70,1 206 108 928.05,53 597
12.01.2026,394.30,391.15,399.30,392.05,394.75,1 411 074 938.05,85 665
09.01.2026,400.40,400.20,407.40,404.05,404.50,755 282 729.05,25 159
08.01.2026,399.40,398.00,401.50,400.45,400.00,659 376 644.65,26 065
06.01.2026,403.25,402.50,405.80,403.15,403.60,392 388 725.00,18 012
05.01.2026,408.00,400.25,408.00,402.60,403.15,1 355 822 668.75,57 302
30.12.2025,408.75,407.15,412.45,409.00,409.00,1 267 685 615.65,44 460
29.12.2025,408.30,406.50,418.50,408.65,412.95,3 325 486 968.75,120 426
26.12.2025,402.85,402.85,408.75,408.50,406.15,1 103 843 445.80,43 338
25.12.2025,405.95,402.60,406.75,402.80,404.10,478 015 234.90,22 755
24.12.2025,404.95,403.20,409.35,405.75,406.40,615 023 445.15,29 926
23.12.2025,406.25,401.80,408.00,404.95,404.70,818 072 542.75,30 793
22.12.2025,410.10,405.00,411.95,406.25,408.40,1 272 841 660.30,44 269
19.12.2025,409.25,407.45,416.45,410.00,411.85,2 508 540 221.40,63 255
18.12.2025,411.65,406.75,415.90,409.25,412.00,2 267 833 613.15,47 765
17.12.2025,413.00,408.50,416.55,411.45,411.70,1 233 028 726.45,50 181
16.12.2025,409.95,408.30,415.75,413.00,413.00,1 448 810 277.75,43 895
15.12.2025,403.80,402.25,410.60,409.65,406.85,1 500 314 795.95,61 013
12.12.2025,411.65,402.00,413.00,402.25,407.05,1 192 779 131.90,42 183
11.12.2025,407.40,407.30,414.25,411.65,410.95,1 216 481 739.15,33 917
10.12.2025,408.30,406.35,409.45,407.60,407.70,494 603 012.25,20 811
09.12.2025,403.45,402.90,412.00,408.05,407.30,796 344 812.05,27 061
08.12.2025,410.00,403.00,416.00,403.00,409.30,1 814 180 977.75,59 872
05.12.2025,400.00,400.00,412.35,410.00,408.75,1 784 549 774.30,54 785
04.12.2025,401.00,398.95,403.65,400.00,401.05,790 997 217.10,24 775
03.12.2025,399.65,394.30,401.85,399.80,397.95,1 130 475 240.65,41 623
02.12.2025,407.00,401.00,408.40,404.25,405.25,683 857 650.95,28 036
01.12.2025,404.55,404.00,410.65,406.30,407.35,1 137 986 461.05,44 617
28.11.2025,400.70,399.20,408.00,405.00,403.50,1 015 677 649.20,31 550
27.11.2025,407.40,396.10,409.95,400.70,401.95,1 578 356 930.90,45 238
26.11.2025,412.95,406.70,412.95,407.40,409.05,572 776 161.35,20 445
25.11.2025,407.95,404.70,421.00,410.20,411.90,2 379 867 789.50,53 892
24.11.2025,410.00,404.30,415.00,409.55,408.90,1 451 906 295.00,47 394
21.11.2025,413.40,401.25,415.50,407.95,407.90,2 021 363 233.30,58 417
20.11.2025,402.00,397.60,415.65,412.95,406.05,2 957 847 670.15,68 801
19.11.2025,389.00,385.00,406.80,402.60,398.20,3 299 027 711.95,85 404
18.11.2025,379.70,378.10,391.00,387.25,387.05,1 837 342 786.65,50 234
17.11.2025,383.15,378.00,384.00,379.80,381.20,1 190 275 006.45,50 930
14.11.2025,383.80,378.70,386.30,382.20,382.30,905 321 511.85,37 118
13.11.2025,384.00,381.10,386.55,383.15,383.60,843 065 695.60,28 822
12.11.2025,391.00,381.05,391.40,383.90,385.10,1 226 323 878.70,45 103
11.11.2025,389.55,386.00,391.80,390.15,388.95,752 887 580.70,33 081
10.11.2025,396.00,388.35,399.05,389.45,392.60,1 236 101 339.80,62 712
07.11.2025,387.10,386.30,398.40,394.85,394.05,1 707 011 760.50,50 115
06.11.2025,389.05,387.00,392.00,389.95,389.05,563 584 891.15,19 421
05.11.2025,392.65,386.30,394.45,389.40,390.70,1 151 869 105.05,37 605
03.11.2025,385.00,384.95,397.85,394.20,392.70,835 570 877.80,36 152
01.11.2025,381.50,381.40,385.45,384.80,384.30,397 295 618.55,22 042
31.10.2025,387.50,378.50,389.20,382.45,383.60,1 033 389 187.60,31 795
30.10.2025,377.95,376.00,391.65,387.50,384.55,1 417 645 562.65,42 207
29.10.2025,377.00,372.80,382.00,377.95,378.25,1 355 952 524.25,39 281
28.10.2025,370.15,362.60,380.50,376.50,373.75,2 158 258 518.45,68 552
27.10.2025,389.75,366.55,390.15,370.15,373.90,4 615 282 527.90,127 103
24.10.2025,391.75,384.00,396.90,389.80,389.35,1 828 012 563.40,62 975
23.10.2025,390.15,383.15,393.95,389.85,388.65,4 866 944 854.05,136 559
22.10.2025,411.40,398.00,414.85,401.95,406.75,2 147 411 866.60,55 892
21.10.2025,421.10,401.00,421.95,411.95,411.05,2 169 660 175.70,66 116
20.10.2025,419.30,419.25,424.85,421.00,422.55,1 534 821 245.45,51 926
17.10.2025,423.75,416.15,423.75,418.00,419.15,2 110 513 807.85,82 624
16.10.2025,400.85,399.00,428.15,423.75,412.85,2 471 261 474.75,58 829
15.10.2025,401.35,397.25,404.85,400.85,400.90,1 524 405 886.30,44 716
14.10.2025,402.80,399.00,404.50,401.35,400.85,1 065 274 953.10,35 779
13.10.2025,405.85,399.50,413.15,402.80,404.30,1 847 916 687.75,73 493
10.10.2025,417.60,406.40,418.85,406.50,410.75,1 349 801 639.75,53 324
09.10.2025,406.10,397.50,420.00,417.60,410.95,2 331 312 604.75,75 340
08.10.2025,412.55,401.10,415.95,403.85,407.30,1 960 147 044.30,69 415
07.10.2025,412.00,409.05,414.35,411.95,411.60,892 546 477.25,33 220
06.10.2025,404.40,399.65,414.15,411.65,406.30,2 404 667 134.70,62 811
03.10.2025,406.95,401.00,411.45,404.40,405.10,1 243 034 789.00,36 993
02.10.2025,407.00,403.00,411.00,408.00,406.65,1 483 707 073.70,40 811
01.10.2025,411.40,405.00,415.50,406.80,409.25,1 588 458 385.45,57 427
30.09.2025,417.80,408.15,417.90,411.40,411.40,1 860 302 955.15,93 947
29.09.2025,424.00,415.35,432.00,416.90,423.85,2 002 291 187.25,68 317
26.09.2025,421.50,418.30,426.00,424.25,421.70,1 405 597 996.35,48 857
25.09.2025,427.70,421.00,429.50,422.20,424.65,871 424 813.80,36 197
24.09.2025,423.00,420.10,431.30,427.70,425.45,1 556 136 792.60,35 777
23.09.2025,431.50,420.60,434.60,421.90,429.50,2 316 017 648.40,56 099
22.09.2025,429.00,423.50,433.00,431.45,427.30,1 765 709 019.95,55 562
19.09.2025,435.00,428.00,435.95,428.90,431.20,1 599 629 447.00,54 485
18.09.2025,441.00,431.20,441.70,435.55,435.95,1 917 588 408.55,49 115
17.09.2025,436.50,434.15,442.20,441.00,438.20,1 733 732 632.00,53 967
16.09.2025,440.80,433.30,443.25,436.85,437.65,1 415 678 082.35,40 320
15.09.2025,448.40,436.75,451.40,440.80,442.50,2 228 724 099.75,68 267
12.09.2025,465.30,446.50,465.90,448.40,453.95,2 410 418 044.50,56 983
11.09.2025,461.90,459.05,467.25,464.55,462.85,1 041 384 104.45,78 209
10.09.2025,467.60,460.10,468.00,461.65,463.80,1 643 452 664.35,37 543
09.09.2025,458.00,458.00,470.00,467.70,463.35,2 678 966 543.90,41 148
08.09.2025,459.15,455.65,459.80,458.00,457.80,1 094 548 358.40,32 710
05.09.2025,450.35,448.15,459.90,459.40,455.00,1 954 481 626.80,36 388
04.09.2025,448.20,445.40,452.50,449.55,449.45,1 133 323 538.25,30 070
03.09.2025,451.80,443.10,452.00,447.95,446.25,1 816 252 218.90,55 941
02.09.2025,461.00,445.50,463.55,451.80,453.75,2 932 234 112.05,58 067
01.09.2025,459.80,458.35,469.20,461.10,464.10,1 886 070 710.90,46 180
29.08.2025,456.55,456.25,461.95,459.75,458.90,1 289 984 205.55,37 105
28.08.2025,465.85,453.90,466.45,456.15,459.40,1 748 271 979.35,40 416
27.08.2025,461.85,460.85,467.40,465.60,464.85,1 792 661 689.25,35 740
26.08.2025,458.40,454.60,464.00,461.65,459.95,1 583 623 242.20,38 666
25.08.2025,457.50,451.60,464.55,458.40,457.40,2 439 428 354.85,75 420
22.08.2025,455.00,453.50,459.25,456.35,456.20,1 758 031 670.75,56 119
21.08.2025,463.80,453.20,467.10,454.75,461.20,2 212 912 899.10,41 116
20.08.2025,466.80,461.10,471.05,463.25,465.30,1 510 264 810.70,36 171
19.08.2025,477.50,463.10,480.80,466.80,473.70,2 916 456 366.15,52 558
18.08.2025,472.90,467.70,482.20,475.20,472.70,6 293 057 815.70,107 958
15.08.2025,474.75,471.30,491.40,487.35,482.60,5 929 464 033.65,127 217
14.08.2025,456.30,452.75,475.30,474.75,467.40,3 868 517 786.70,90 299
13.08.2025,462.45,453.70,463.60,456.60,458.40,1 486 009 647.70,52 671
12.08.2025,461.60,456.80,464.60,461.50,460.65,1 415 378 605.60,36 605
11.08.2025,458.40,458.10,470.55,461.55,463.85,3 238 827 704.35,110 554
08.08.2025,446.35,440.10,455.20,455.20,447.60,2 264 419 134.30,50 134
07.08.2025,438.40,435.60,453.50,445.05,445.90,4 587 920 311.30,139 251
06.08.2025,436.10,424.35,449.40,438.40,434.75,5 165 788 983.45,102 051
05.08.2025,429.20,426.00,436.65,435.75,433.40,3 938 073 791.05,90 869
04.08.2025,417.40,417.40,429.20,429.10,425.00,1 745 094 966.70,76 824
01.08.2025,420.10,415.00,423.30,416.85,419.70,1 011 525 288.50,37 840
31.07.2025,419.85,416.20,422.60,419.65,419.15,869 057 619.95,25 792
30.07.2025,426.05,417.45,430.55,419.40,423.30,2 082 031 090.80,65 346
29.07.2025,415.60,413.60,430.30,425.95,423.20,2 736 324 527.80,76 881
28.07.2025,418.05,413.60,424.65,415.05,418.50,2 323 555 006.70,96 976
25.07.2025,423.10,415.30,425.05,418.00,419.95,1 336 330 239.95,63 834
24.07.2025,425.00,420.50,426.10,422.50,422.70,717 120 827.35,32 670
23.07.2025,419.80,419.80,427.00,424.70,424.50,1 445 555 115.95,38 502
22.07.2025,417.25,415.00,420.05,419.60,417.85,793 179 443.65,32 954
21.07.2025,414.00,413.90,421.00,417.60,417.60,1 531 555 941.40,59 824
18.07.2025,406.00,405.70,415.20,414.35,412.05,2 182 663 635.00,55 967
17.07.2025,421.95,419.35,428.00,420.70,423.85,1 931 091 179.55,52 562
16.07.2025,419.15,416.55,426.35,422.00,421.90,1 545 397 978.50,53 325
15.07.2025,423.00,416.40,423.00,419.15,419.50,1 462 413 035.10,61 256
14.07.2025,402.45,395.00,425.00,422.25,408.00,3 631 660 833.90,110 672
11.07.2025,414.70,400.60,414.80,402.25,406.15,2 190 209 540.35,78 016
10.07.2025,410.55,410.30,417.75,413.20,414.45,1 214 597 054.50,37 343
09.07.2025,415.75,404.75,418.35,410.25,409.90,2 498 854 687.25,85 818
08.07.2025,426.60,414.60,427.55,415.25,420.05,1 751 680 747.50,75 545
07.07.2025,426.90,423.95,429.90,426.60,426.70,1 310 639 130.95,56 135
04.07.2025,426.00,422.50,430.40,426.70,427.05,1 367 434 357.00,47 793
03.07.2025,434.35,426.00,437.35,427.30,432.20,1 904 041 047.50,57 372
02.07.2025,440.00,431.55,441.40,435.00,435.70,1 593 155 336.05,46 887
01.07.2025,442.00,438.70,447.25,439.75,443.10,1 698 005 407.95,45 846
30.06.2025,439.40,435.50,444.50,442.30,440.15,2 054 558 178.35,82 877
27.06.2025,435.50,433.05,439.45,438.75,436.20,1 872 312 543.15,42 147
26.06.2025,436.40,433.05,436.75,435.15,435.00,1 131 882 257.10,37 864
25.06.2025,436.80,433.70,440.55,435.05,436.40,1 828 790 033.80,48 184
24.06.2025,436.00,427.30,438.70,436.80,433.40,4 891 263 265.00,87 039
23.06.2025,458.00,435.95,459.35,440.00,452.10,7 801 762 435.80,140 083
20.06.2025,453.35,445.55,456.35,448.75,450.75,2 643 504 864.85,52 213
19.06.2025,454.85,452.15,459.65,455.60,456.00,4 635 473 793.75,85 958
18.06.2025,457.95,448.20,459.00,454.85,454.50,6 067 992 488.55,94 812
17.06.2025,438.00,436.50,457.80,456.95,448.15,6 627 461 783.05,113 715
16.06.2025,446.80,433.15,457.60,436.15,446.15,17 016 398 227.95,273 379
13.06.2025,428.65,424.00,444.40,444.40,435.95,7 498 894 345.10,162 184
11.06.2025,411.60,408.10,417.35,415.40,414.25,1 476 337 025.75,77 326
10.06.2025,426.60,406.60,429.45,411.15,412.95,3 960 576 909.10,111 752
09.06.2025,430.65,422.65,433.85,425.75,426.20,1 286 374 244.55,61 910
06.06.2025,437.95,429.00,447.40,429.20,436.75,3 581 969 067.45,79 754
05.06.2025,435.45,434.35,443.00,437.90,438.50,1 465 581 390.45,46 387
04.06.2025,444.30,432.45,450.00,435.45,440.85,2 705 626 916.35,110 344
03.06.2025,438.90,435.85,444.95,444.15,441.40,1 489 162 820.60,50 562
02.06.2025,427.35,416.40,439.50,438.70,429.50,3 318 372 256.40,95 183
30.05.2025,424.80,420.40,432.90,427.15,428.15,1 938 648 906.55,46 022
29.05.2025,429.00,424.60,437.45,424.95,430.80,2 659 911 740.50,72 230
28.05.2025,413.40,413.40,429.00,428.15,420.25,2 142 948 468.75,65 084
27.05.2025,413.45,408.35,418.80,413.65,412.85,2 237 049 431.40,70 674
26.05.2025,420.70,410.60,421.45,413.90,414.25,1 793 799 577.00,87 844
23.05.2025,423.85,418.45,427.45,420.70,422.15,1 476 620 748.85,55 474
22.05.2025,429.45,422.15,430.15,423.85,425.45,1 985 431 890.65,65 221
21.05.2025,432.75,427.55,433.80,429.35,430.95,995 798 578.40,41 685
20.05.2025,440.30,429.80,440.90,432.30,433.90,1 142 714 896.10,51 405
19.05.2025,439.85,436.90,448.25,439.00,442.40,1 812 832 015.15,72 532
16.05.2025,444.00,431.25,445.50,439.85,439.10,1 683 330 284.15,53 811
