Date,Open,Low,High,Close,Avg,Volume,Count
30.01.2026,308.00,304.50,309.08,305.62,305.92,7 241 568 363.89,115 999
29.01.2026,303.60,303.59,311.50,308.52,307.84,16 423 403 986.49,257 916
28.01.2026,305.00,303.55,305.58,303.58,304.64,3 878 400 631.09,97 443
27.01.2026,303.21,302.86,305.30,304.92,304.14,4 797 651 863.49,126 462
26.01.2026,306.88,302.70,307.35,303.17,304.64,7 524 823 701.60,205 090
23.01.2026,305.96,305.30,307.36,306.88,306.54,5 237 994 811.22,86 788
22.01.2026,306.60,304.22,307.00,306.22,306.09,7 138 151 902.74,126 995
21.01.2026,304.10,303.00,306.94,306.49,305.42,8 034 147 581.29,104 942
20.01.2026,303.89,302.47,304.65,304.03,303.50,5 201 023 168.34,100 944
19.01.2026,301.67,300.34,304.73,303.62,303.02,7 942 036 419.00,173 094
16.01.2026,299.43,298.90,301.97,301.52,300.61,6 226 817 380.80,110 995
15.01.2026,298.25,297.40,299.80,299.16,298.73,3 953 716 772.29,95 848
14.01.2026,297.23,296.02,299.78,298.58,298.50,5 472 725 248.67,131 275
13.01.2026,299.20,296.61,301.04,297.23,297.62,5 469 857 113.11,120 875
12.01.2026,299.15,298.00,301.40,299.16,299.74,4 842 370 405.12,105 738
09.01.2026,298.07,297.82,299.39,299.04,298.77,2 272 887 301.60,48 892
08.01.2026,296.85,296.35,298.50,298.00,297.63,3 086 340 363.87,70 364
06.01.2026,298.86,298.20,299.94,299.08,299.09,2 083 074 827.93,57 500
05.01.2026,300.00,296.21,300.12,298.78,298.06,4 600 917 411.64,130 135
30.12.2025,300.50,299.08,300.99,299.90,299.98,5 995 707 082.49,116 099
29.12.2025,302.66,298.50,306.20,299.70,302.08,17 178 955 734.59,276 482
26.12.2025,300.26,300.02,302.60,302.51,301.75,7 471 305 890.61,137 240
25.12.2025,302.31,300.07,302.72,300.26,300.87,3 507 971 432.10,164 464
24.12.2025,300.66,299.32,303.15,302.03,301.92,6 229 203 594.24,86 668
23.12.2025,298.03,297.32,301.68,300.65,299.77,5 537 942 834.73,104 383
22.12.2025,300.01,296.84,300.65,297.72,298.46,8 308 098 426.21,206 679
19.12.2025,302.30,298.51,303.25,299.87,300.80,15 565 216 005.10,320 391
18.12.2025,303.38,300.47,304.27,301.96,301.78,11 595 792 384.77,170 769
17.12.2025,304.79,301.78,305.88,303.50,303.48,9 201 627 020.25,167 077
16.12.2025,305.07,303.53,306.20,304.78,304.99,7 571 279 480.47,120 313
15.12.2025,304.32,303.07,305.80,305.08,304.40,9 424 859 039.11,167 528
12.12.2025,307.21,303.61,307.92,303.86,305.58,9 721 821 856.20,133 123
11.12.2025,306.84,305.20,309.41,307.19,307.63,13 555 005 667.31,167 472
10.12.2025,307.00,306.00,307.68,306.73,306.70,4 477 612 444.65,72 212
09.12.2025,305.00,304.50,307.70,306.39,306.20,7 038 561 904.88,107 948
08.12.2025,307.53,304.20,308.48,304.95,306.29,8 463 863 073.75,112 647
05.12.2025,301.76,301.66,307.92,307.22,305.54,10 450 683 867.56,122 416
04.12.2025,303.25,301.40,304.58,301.76,302.72,5 030 112 558.88,72 960
03.12.2025,301.10,299.10,303.76,302.85,301.11,8 702 516 170.90,123 319
02.12.2025,305.60,301.46,305.92,303.77,304.20,6 048 433 753.40,100 663
01.12.2025,304.32,303.01,306.48,305.20,304.99,7 240 216 146.69,133 264
28.11.2025,300.86,299.05,305.26,304.17,302.28,7 515 783 116.96,106 526
27.11.2025,305.47,297.33,306.25,299.53,301.14,10 394 336 262.28,293 509
26.11.2025,306.48,304.00,306.87,304.96,304.94,3 946 630 169.16,80 397
25.11.2025,306.00,303.00,307.97,306.60,306.02,9 007 594 998.84,111 479
24.11.2025,308.67,303.70,309.95,305.87,306.31,8 129 662 622.06,166 413
21.11.2025,308.50,304.22,309.23,306.70,306.69,9 917 805 065.75,127 344
20.11.2025,304.76,301.78,308.88,307.89,305.40,12 934 315 611.36,207 035
19.11.2025,300.00,298.66,309.90,304.75,304.89,18 329 390 316.71,255 251
18.11.2025,294.68,293.33,302.86,299.44,299.58,14 157 514 528.87,216 636
17.11.2025,297.44,293.64,297.89,294.68,295.17,6 658 039 882.16,131 705
14.11.2025,299.09,295.50,299.70,297.44,297.04,5 838 418 641.35,105 474
13.11.2025,299.00,297.67,301.53,299.09,299.57,5 048 729 657.95,129 475
12.11.2025,301.15,296.81,301.89,299.09,299.08,7 277 070 281.42,121 371
11.11.2025,300.86,298.06,301.87,301.12,300.28,6 452 433 192.43,103 683
10.11.2025,297.27,296.70,302.79,300.46,300.79,12 926 536 192.20,209 827
07.11.2025,293.50,292.52,298.09,296.84,296.41,6 541 015 487.16,106 006
06.11.2025,295.73,292.01,296.93,294.27,294.03,7 064 646 712.28,112 413
05.11.2025,297.64,293.88,298.82,295.70,296.30,9 996 341 505.05,127 250
03.11.2025,294.19,294.19,300.00,298.04,297.77,5 350 986 709.95,85 057
01.11.2025,292.00,290.35,294.42,293.70,293.52,3 763 739 970.14,64 126
31.10.2025,296.04,290.00,297.97,291.89,293.67,9 302 630 867.51,129 980
30.10.2025,290.49,289.13,298.00,296.12,295.07,11 142 750 680.78,153 195
29.10.2025,290.45,288.15,291.51,290.50,289.81,6 313 299 551.42,107 701
28.10.2025,283.22,281.00,290.70,289.46,287.61,10 631 654 782.90,167 231
27.10.2025,287.47,282.46,287.99,283.17,284.27,9 995 467 134.35,150 920
24.10.2025,292.17,286.30,294.93,287.55,289.48,13 867 992 000.93,168 778
23.10.2025,286.93,285.21,291.98,291.80,287.67,11 285 276 468.59,153 940
22.10.2025,295.52,286.76,295.77,290.02,292.36,12 617 477 172.48,163 757
21.10.2025,304.10,290.50,304.43,295.47,297.43,21 009 220 004.88,193 758
20.10.2025,301.30,301.30,306.15,304.00,304.21,10 588 797 522.93,172 543
17.10.2025,303.23,299.76,305.00,300.91,301.63,13 662 360 087.79,185 473
16.10.2025,283.90,282.40,304.00,302.91,294.58,27 693 939 616.72,296 530
15.10.2025,283.93,282.00,285.39,283.74,283.52,6 354 633 082.60,101 487
14.10.2025,285.50,282.05,286.99,283.30,284.06,6 336 024 375.64,100 654
13.10.2025,284.40,282.22,288.75,285.39,285.28,10 628 443 460.69,185 409
10.10.2025,289.90,284.10,289.95,285.12,286.87,9 802 145 252.36,188 861
09.10.2025,282.80,278.75,290.45,289.37,285.64,21 756 142 085.85,301 156
08.10.2025,293.93,278.00,295.00,281.90,285.25,21 455 966 507.52,287 733
07.10.2025,290.00,288.75,295.87,293.89,293.41,11 118 592 914.90,144 993
06.10.2025,283.00,279.14,291.17,290.56,285.51,12 725 990 249.11,238 553
03.10.2025,285.75,282.58,287.32,282.91,284.62,4 866 587 736.44,150 766
02.10.2025,286.40,282.80,287.15,285.22,284.66,7 977 142 960.95,162 831
01.10.2025,288.88,285.11,290.39,286.40,287.23,6 576 740 304.08,145 887
30.09.2025,287.67,285.24,289.88,288.36,287.56,8 448 898 245.35,197 993
29.09.2025,291.03,286.50,295.50,287.57,291.12,10 558 191 901.87,201 447
26.09.2025,290.20,288.52,292.79,291.33,290.50,6 577 490 806.23,119 983
25.09.2025,293.87,289.50,294.89,289.90,292.01,6 131 641 048.37,110 191
